country,area,percent
Afghanistan,1631,0.0025
Albania,7716,0.2684
Algeria,42000,0.017
Angola,591040,0.4741
Antarctica,0,0
Argentina,945336,0.34
Armenia,2974,0.1
Australia,1470832,0.199
Austria,39600,0.472
Azerbaijan,11400,0.1317
Bangladesh,8710,0.0605
Belarus,80334,0.386
Belgium,6834,0.2238
Belize,16530,0.7198
Benin,61860,0.5493
Bhutan,24764,0.645
Bolivia,587400,0.5347
Bosnia and Herzegovina,25599,0.53
Botswana,119430,0.2053
Brazil,4776980,0.561
Brunei,2780,0.4822
Bulgaria,36250,0.3269
Burkina Faso,67940,0.2478
Burundi,1270,0.045
Cambodia,93350,0.5156
Cameroon,212450,0.4468
Canada,4916438,0.4924
Central African Republic,227550,0.3653
Chad,119210,0.0928
Chile,158781,0.21
China,2083210,0.21831
Colombia,607280,0.5332
Costa Rica,20440,0.4
Croatia,24901,0.44
Cuba,27130,0.2447
Cyprus,1740,0.1881
Czech Republic,26000,0.34
Democratic Republic of the Congo,1819326,0.5
Denmark,6120,0.142
Djibouti,60,0.0026
Dominican Republic,13384,0.275
East Timor,7980,0.5365
Ecuador,115510,0.42
Egypt,670,0.0007
El Salvador,2980,0.1416
Equatorial Guinea,16320,0.5818
Eritrea,15540,0.1321
Estonia,23066,0.61
Ethiopia,39313,0.0356
Falkland Islands,0,0
Fiji,10000,0.5472
Finland,233320,0.72
France,246640,0.3676
French Southern and Antarctic Lands,0,0
Gabon,227517,0.85
Gambia,4857,0.43
Georgia,28577,0.41
Germany,114190,0.32
Ghana,24600,0.102
Greece,37520,0.2843
Greenland,0,0
Guatemala,108894,0.51
Guinea Bissau,20720,0.5736
Guinea,67240,0.2735
Guyana,151040,0.7026
Haiti,416,0.015
Honduras,67254,0.6
Hungary,20990,0.23
Iceland,1930,0.02
India,778424,0.2468
Indonesia,884950,0.4646
Iran,110750,0.0672
Iraq,8220,0.0188
Ireland,7540,0.1107
Israel,1600,0.07
Italy,106736,0.35
Ivory Coast,30000,0.093
Jamaica,3308,0.301
Japan,253203,0.67
Jordan,893,0.01
Kazakhstan,54498,0.02
Kenya,13200,0.0227
Kosovo,4648,0.41
Kuwait,60,0.0034
Kyrgyzstan,8690,0.0435
Laos,170000,0.716
Latvia,28807,0.6
Lebanon,1383,0.133
Lesotho,80,0.0026
Liberia,31540,0.2832
Libya,2170,0.0012
Lithuania,21223,0.33
Luxembourg,870,0.3364
Macedonia,10285,0.4
Madagascar,128380,0.2187
Malawi,33176,0.28
Malaysia,195200,0.595
Mali,125720,0.1014
Mauritania,2670,0.0026
Mexico,710000,0.365
Moldova,3290,0.0972
Mongolia,102520,0.0655
Montenegro,6252,0.4526
Morocco,111325,0.1154
Mozambique,620000,0.78
Myanmar,430560,0.6364
Namibia,76610,0.0929
Nepal,36360,0.247
Netherlands,3650,0.0879
New Caledonia,8390,0.46
New Zealand,85424,0.3187
Nicaragua,51890,0.398
Niger,112000,0.08
Nigeria,110890,0.12
North Korea,76240,0.73
Northern Cyprus,NA,0.1881
Norway,121120,0.3742
Oman,13050,0.0422
Pakistan,42240,0.0531
Palestine,90,0.0145
Panama,42940,0.5693
Papua New Guinea,294370,0.636
Paraguay,184750,0.4542
Peru,687420,0.5349
Philippines,71620,0.2387
Poland,90000,0.288
Portugal,31820,0.348
Puerto Rico,5520,0.622
Qatar,0,0
Republic of Congo,224710,0.657
Republic of Serbia,27200,0.3113
Romania,69610,0.2902
Russia,8149300,0.494
Rwanda,3161,0.12
Saudi Arabia,27000,0.0126
Senegal,86730,0.4409
Sierra Leone,27540,0.3839
Slovakia,20006,0.408
Slovenia,12574,0.6
Solomon Islands,22534,0.78
Somalia,71310,0.1118
Somaliland,NA,0.0224
South Africa,89170,0.0731
South Korea,63346,0.632
South Sudan,148196,0.23
Spain,184180,0.367
Sri Lanka,19330,0.2946
Sudan,675460,0.2696
Suriname,147760,0.902
Swaziland,174,0.01
Sweden,280730,0.6895
Switzerland,12540,0.318
Syria,4610,0.0249
Taiwan,21588,0.6
Tajikistan,4100,0.0287
Thailand,147620,0.29
The Bahamas,5150,0.5145
Togo,8000,0.14
Trinidad and Tobago,2260,0.4407
Tunisia,20615,0.126
Turkey,216781,0.276
Turkmenistan,41270,0.0846
Uganda,50000,0.2074
Ukraine,105000,0.17
United Arab Emirates,3120,0.0373
United Kingdom,28650,0.1176
United Republic of Tanzania,352570,0.3722
United States of America,3100950,0.3384
Uruguay,7000,0.04
Uzbekistan,19690,0.044
Vanuatu,4470,0.3667
Venezuela,471378,0.5168
Vietnam,123000,0.3714
Western Sahara,0,0
Yemen,4490,0.0085
Zambia,376309,0.5
Zimbabwe,259267,0.6635
