source_airport,destination_airport
SXF,PSA
LGW,MLE
CAI,HRG
ADB,AMS
PRG,CPH
CAN,PEK
NRT,KOJ
HGH,CKG
QSF,LYS
FLL,MCO
IFN,AWZ
EZE,REL
SZG,LGW
PDA,VVC
ADD,MCT
LHR,TLS
MVD,CWB
TSA,CKG
MCO,AUS
MBJ,ATL
HEL,MUC
YYZ,DEN
PKC,VVO
ATL,RDU
HAJ,MSQ
TYN,SYX
AMM,EBL
AMS,CMN
DTM,PMI
AAE,MRS
TPE,SEA
TRN,FCO
SFO,DFW
ATL,CRW
ZRH,LHR
CPH,ALC
CNF,SSA
YXN,YEK
MIA,CZM
AWD,TAH
CGO,SWA
AMS,SXM
GAU,CCU
MUC,CTA
LIT,PHX
MHD,ZAH
GDL,LAX
IST,GOT
MDW,CMH
PEN,KUA
GTO,UPG
BRS,DLM
KBL,KDH
TFS,GRZ
BLL,FRA
QOW,LOS
TLV,DUS
ATH,JTR
CBR,SYD
CFU,BLL
ISG,NGO
PEK,GMP
EWR,ORD
ATL,CZM
ATL,LAS
MSP,ATL
MSP,MKE
CDG,VNO
LIS,MUC
KBP,LIS
LIS,REC
BNE,PER
ZSA,NAS
HHN,IBZ
LAX,NRT
ACE,STN
PWM,JFK
FNC,PDL
JNB,AUH
DLC,KHN
NJC,TJM
CGK,KUL
ICN,TNA
MMY,ISG
IAD,IST
SAT,IAH
YQD,YWG
BEB,SYY
LIS,BOD
CAN,DAD
CMB,DAC
HFE,CSX
DTW,MQT
SJU,AZS
XIY,PVG
PEE,SVO
PEK,NGO
LJG,NNG
IBZ,AGP
ORY,TLM
LAX,AGU
RTB,LCE
CAG,NAP
ZHA,HKG
CAN,JDZ
SXM,BOS
CTU,CGO
GIG,CWB
ATH,MXP
TAE,ICN
NAP,FRA
DLC,XIY
ADD,BOM
BJX,MTY
PVG,SYD
PHX,LHR
LTN,KTW
GYE,SCY
AUA,CCS
FRA,AUH
MAN,PMI
MCT,JED
BCN,TRN
LCY,RTM
ORD,YYZ
CTA,NAP
CLT,HPN
ACE,GLA
BRU,DEL
GLA,DLM
SFB,IAG
EMA,IBZ
CTU,SJW
SXR,DEL
STN,BCN
SHE,SJW
MCP,BEL
BDS,BSL
AGP,GSE
HPH,DAD
PHL,MCI
KNG,AMQ
FRA,BGO
CGK,JOG
CGN,ARN
ABV,BNI
YYZ,CLT
CLT,FRA
CLT,RSW
CHS,TPA
MXP,OPO
MIA,ZRH
LHR,TAS
SAW,MQM
KAJ,HEL
ATL,FRA
ICN,YNJ
HRB,SJW
EWR,GSO
ALC,BHX
JED,HOF
BDJ,BPN
YYZ,HOG
CMB,SEZ
ALB,IAD
OSL,EVE
LAX,GDL
AUA,VLN
YVR,PEK
HAM,NUE
MUC,CPH
ABQ,LAS
LIM,DFW
MDC,BPN
LHR,JNB
THR,TBZ
FRA,DEN
TNA,WUH
NYU,RGN
BKK,OVB
SEZ,CMB
JTR,VIE
MDW,GSP
SDU,MEA
YCU,LHW
LAD,CPT
IAH,SNA
HGU,POM
BUF,PHL
GOI,BLR
MAH,HAJ
ATL,MSP
LYS,SVQ
SVO,AYT
PEK,WUA
FUK,HNA
BRU,MXP
BOS,IAH
HNL,LNY
IGR,SLA
CCP,SCL
GLA,MAN
GVA,MUC
HKT,BKK
CUR,BON
CTU,CSX
CDG,BOS
DJE,LIL
BVA,OTP
OSL,BGO
UPG,DPS
AYT,FMO
HKG,USM
TNA,HET
CTU,TSN
SFG,SBH
LGW,SZG
MBJ,IAH
MIA,CUR
DEL,JFK
LHR,LAX
MAD,MXP
RPR,DEL
JER,SOU
HSG,PVG
BRA,SSA
LAX,BJX
SFG,PTP
BQS,YKS
CGN,LGW
GSP,PGD
ROA,SFB
FEZ,MRS
CPH,VCE
LCA,ATH
BRU,CMN
SJC,GDL
KHH,CGO
SRG,DPS
XIY,CTU
MSY,DEN
MUC,DJE
OSR,PRG
HRL,IAH
DUS,EWR
DLA,COO
LED,KZN
DXB,WAW
HAJ,SKG
RNO,DEN
LEJ,RHO
GTR,ATL
FCO,TLS
FAR,ORD
DEN,PHX
BCN,ORY
AEP,UAQ
FRA,HAM
JNB,MPM
PDX,CLT
XUZ,KWE
GVA,BIA
DME,FRU
PHX,DCA
FMM,TXL
ZRH,ARN
ACE,EMA
OLA,OSL
VLI,BNE
HAM,CTA
LPB,LIM
OTP,LCA
VIE,LCA
GRO,MST
LHR,BOM
NRT,OKA
JED,JNB
GAN,KDM
ZAD,STR
BAV,WUH
FNC,TXL
YAG,YQT
CCU,BOM
CCU,IXA
JDO,BSB
XIY,WUX
OTP,MUC
LED,OMS
BRU,VNO
AGS,CLT
LPL,FNI
MRS,MLA
YNT,HKG
FLR,FCO
LYS,BES
XMN,KWE
MIA,APF
ZAZ,OTP
MAN,HRG
MAN,IBZ
ABQ,LAX
TMC,KOE
CSX,TEN
HET,CIF
NBO,JRO
MIA,GSO
KUL,BPN
CGN,JTR
CDG,BRU
FAO,LTN
HRG,NUE
SDU,VCP
TKD,ACC
PIT,PHX
PDX,LAX
EBB,DXB
WAW,ODS
MAN,PFO
ORD,BNA
IBZ,BCN
CCU,IXR
FCO,BRS
MEX,IAH
PHX,OAK
PVG,TGO
KUL,TGG
HAM,HRG
MAN,DXB
IXB,PBH
TPA,TTN
DME,VIE
MAD,TSR
LGA,ROA
OVB,LBD
KUH,HND
NKG,SJW
TLV,SOF
CAN,WXN
SIN,KCH
YZV,YGV
YCG,YVR
ABJ,ACC
IXC,BOM
BOG,PTY
BJL,BCN
TPE,YNZ
JAN,MCO
MIA,DUS
SEA,MSP
ORD,TXL
MEM,CLT
XMN,NKG
IBZ,BRN
CWA,ORD
EWR,GVA
ILM,ATL
OVB,IST
NNG,FOC
CSX,ZUH
CPD,ADL
IBZ,DUS
MEM,ATL
DME,LED
LAD,LHR
AUA,IAD
YYZ,CCC
BOS,PLS
YUL,BCN
BKK,MDL
LYA,KMG
JFK,AUA
URC,TAS
EZE,GRU
FRA,OLB
AMS,HAJ
ICN,BKK
ABQ,PHX
TUN,DME
PVG,SYX
FRA,LPA
FUK,TPE
TNN,HKG
ZUH,HYN
CSX,CKG
SHE,JNG
YWG,YQD
MUC,BCN
SNU,CCC
HKG,ULN
BOS,MCI
SAW,OTP
KIX,SGN
NAP,TRS
CSX,NGB
FOC,TYN
MAD,MUC
NSK,AER
CKG,HDG
SPU,DBV
TIP,CAI
SIN,SUB
TPE,HAN
CUN,LAX
PDX,LGB
IAH,YYC
HSV,ORD
SAT,TPA
NNG,LJG
MAA,TRV
SJW,TAO
CEI,BKK
GCM,LCE
SYX,SWA
BNE,ADL
DFW,GRK
MAN,CUN
KUL,AOR
ITM,SDJ
JNB,CDG
DXB,ADL
HAJ,ACE
IAD,MIA
JJN,KWE
LIL,ORN
MUC,BOD
LEJ,DME
YYR,YDP
BKK,IKA
MAA,CCU
TPS,BVA
NCE,AMS
GRU,CGB
HAJ,AMS
SIN,DAD
SGN,KHH
OKC,SLC
TAO,WUH
SXR,DEL
HKD,CTS
GRU,NVT
AER,LBD
YYC,DEN
CAN,URC
SJU,FDF
PEK,CJJ
XMN,SYX
KIN,ATL
BVA,DUB
MAN,GOT
SGN,MNL
BOG,FLL
BHX,ACE
CBB,LPB
PLX,UKK
MKY,BNE
IAH,AMS
MRS,TUF
IND,DFW
PVG,HAK
MSY,MIA
CNX,BKK
BRU,BMA
PVG,TAO
DTM,SAW
SZB,LGK
SAW,SXF
LED,CDG
CCU,GAU
TPE,XUZ
SHE,WUH
KMG,ICN
IAH,LIM
MIG,LXA
PVG,SFO
CGR,GRU
TBS,MUC
NRT,SDJ
SZX,KWL
LIS,FRA
XIY,BHY
MVD,GRU
ADD,JRO
STI,MIA
THR,ADU
UME,OSD
CLT,BTR
CUN,IAH
JAX,DCA
TXL,SAW
HOG,YUL
CLT,DCA
LHR,BKK
CGK,HND
BNE,AKL
VIE,BCN
CPO,LSC
FAT,SFO
NGB,RMQ
LIH,YVR
VCE,LED
KUL,KHI
ISB,LBA
TSN,KMG
SIN,PER
DKR,LPA
FRA,TUN
