geoID,q1,q2,q3,q4
c1804,29,81,38,49
c1805,58,100,97,83
c1806,41,58,72,50
c1807,33,44,57,68
c1808,20,71,78,97
c1809,85,12,7,65
c1810,58,77,7,59
c1811,99,5,23,62
c1812,1,65,11,22
c1813,53,14,65,65
c1814,81,38,64,57
c1815,43,63,71,70
c1816,92,99,32,23
c1817,1,98,45,92
c1818,45,63,30,71
c1819,92,45,38,12
c1820,79,61,40,9
c1821,81,100,72,74
c1822,45,35,5,1
c1823,1,75,55,62
c1824,89,51,86,8
c1825,39,12,67,22
c1826,20,69,56,27
c1827,49,50,12,57
c1828,37,67,67,47
c1829,52,86,51,55
c1830,57,32,69,18
c1831,1,90,13,48
c1832,44,57,32,52
c1833,23,100,72,23
c1834,26,70,37,84
c1835,58,86,91,70
